prompt_id,model,lever,judge_a_score,judge_b_score,delta,tier_2_criteria,response_text,human_score,judge_a_reasoning,judge_b_reasoning,human_note,arbitration_method
rea-008,gpt-5.4-2026-03-05,batch,0.400,0.650,0.250,"Reasoning must (a) compute the Standard credit as £40 × 21/31 ≈ £27.10, (b) compute the Premium charge as £100 × 21/31 ≈ £67.74, and (c) take the difference (Premium charge minus Standard credit) to give approximately £40.65.","{""reasoning"":""Standard plan monthly price is £40 for 31 days in May. Unused Standard period is 21 days (11–31 May), so credit = £40 × 21/31 = £27.096774... = £27.10 rounded to the nearest penny.\nPremium plan monthly price is £100 for 31 days. Remaining Premium period is 21 days, so charge = £100 × 21/31 = £67.741935... = £67.74 rounded to the nearest penny.\nAdditional amount due for May = Premium prorated charge − Standard unused credit = £67.74 − £27.10 = £40.64."",""final_answer"":""£40.64""}",0.525,"Correctly computes the individual prorated amounts but rounds them individually before subtracting, yielding £40.64 instead of the correct £40.65. The final answer is wrong by 1p due to premature rounding.","Computes the prorated amounts but rounds them before subtracting, producing the wrong final amount of £40.64 instead of £40.65.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rea-010,claude-haiku-4-5,batch,1.000,0.750,0.250,"Reasoning must allocate tasks across two workers respecting the A-before-B constraint, identifying that Worker 1 can do A then B (4+3=7h, ending 16:00) and Worker 2 can do D then C (5+2=7h, ending 16:00); both finish at 16:00.","I need to find the optimal schedule for two workers to complete all four tasks, where Task B can only start after Task A is complete.

**Given information:**
- Task A: 4 hours (must be done before Task B)
- Task B: 3 hours (depends on Task A)
- Task C: 2 hours (no constraints)
- Task D: 5 hours (no constraints)
- 2 workers available
- Start time: 09:00
- Tasks cannot be interrupted

**Strategy:**
To minimize total completion time, I should:
1. Start Task A immediately (since Task B depends on it)
2. Have the other worker start on a long task (Task D is longest at 5 hours)
3. Schedule remaining tasks optimally

**Option 1: Worker 1 does A, then B; Worker 2 does D, then C**

Worker 1:
- Task A: 09:00 - 13:00 (4 hours)
- Task B: 13:00 - 16:00 (3 hours, can start after A completes)
- Finishes at 16:00

Worker 2:
- Task D: 09:00 - 14:00 (5 hours)
- Task C: 14:00 - 16:00 (2 hours)
- Finishes at 16:00

All tasks complete at 16:00

**Option 2: Worker 1 does A, then C; Worker 2 does D, then B**

Worker 1:
- Task A: 09:00 - 13:00 (4 hours)
- Task C: 13:00 - 15:00 (2 hours)
- Finishes at 15:00

Worker 2:
- Task D: 09:00 - 14:00 (5 hours)
- Task B: 14:00 - 17:00 (3 hours, but A finished at 13:00, so B can start at 14:00)
- Finishes at 17:00

All tasks complete at 17:00 (worse)

**Option 3: Worker 1 does A, then D; Worker 2 does C, then B**

Worker 1:
- Task A: 09:00 - 13:00 (4 hours)
- Task D: 13:00 - 18:00 (5 hours)
- Finishes at 18:00

Worker 2:
- Task C: 09:00 - 11:00 (2 hours)
- Task B: 13:00 - 16:00 (3 hours, can start after A completes at 13:00)
- Finishes at 16:00

All tasks complete at 18:00 (worse)

**Option 4: Worker 1 does D; Worker 2 does A, then B, then C**

Worker 1:
- Task D: 09:00 - 14:00 (5 hours)
- Finishes at 14:00

Worker 2:
- Task A: 09:00 - 13:00 (4 hours)
- Task B: 13:00 - 16:00 (3 hours)
- Task C: 16:00 - 18:00 (2 hours)
- Finishes at 18:00

All tasks complete at 18:00 (worse)

**Option 1 is optimal** with both workers finishing at 16:00.

The earliest time all four tasks will be complete is **16:00**.

```json
{""reasoning"": ""With two workers and the constraint that Task B must follow Task A, the optimal schedule is: Worker 1 completes Task A (09:00-13:00, 4 hours), then Task B (13:00-16:00, 3 hours). Worker 2 completes Task D (09:00-14:00, 5 hours), then Task C (14:00-16:00, 2 hours). Both workers finish at 16:00, which is the minimum possible completion time."", ""final_answer"": ""16:00""}
```",0.875,"Thoroughly explores multiple options, correctly identifies the optimal schedule (Worker 1: A→B, Worker 2: D→C), arrives at the correct answer of 16:00 with detailed reasoning.","Correct schedule and final time, but violates the required JSON-only format with extra prose and a fenced JSON block.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rea-010,gpt-5.4-mini-2026-03-17,compression,0.900,0.650,0.250,"Reasoning must allocate tasks across two workers respecting the A-before-B constraint, identifying that Worker 1 can do A then B (4+3=7h, ending 16:00) and Worker 2 can do D then C (5+2=7h, ending 16:00); both finish at 16:00.","{""reasoning"":""Task A takes 4 hours, Task B takes 3 hours and must start only after Task A is complete. Tasks C and D take 2 and 5 hours respectively, with no ordering constraints. There are 2 workers and all tasks start at 09:00 if possible. To minimize the completion time, run A and D first in parallel from 09:00. A finishes at 13:00, D finishes at 14:00. Then B can start immediately at 13:00 on the freed worker and finishes at 16:00. C can run on the other worker from 13:00 to 15:00. The last task to finish is B at 16:00."",""final_answer"":""16:00""}",0.775,"Correct answer of 16:00 with valid reasoning, though assigns C to start at 13:00 rather than showing the optimal D-then-C pairing on Worker 2; still a valid schedule.","Final answer is correct, but the stated schedule incorrectly overlaps C with D from 13:00 to 14:00.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rea-010,gpt-5.4-mini-2026-03-17,output_cap,0.900,0.650,0.250,"Reasoning must allocate tasks across two workers respecting the A-before-B constraint, identifying that Worker 1 can do A then B (4+3=7h, ending 16:00) and Worker 2 can do D then C (5+2=7h, ending 16:00); both finish at 16:00.","{""reasoning"":""Task A must finish before Task B can start, so A and B must be done sequentially on the same worker or at least B must wait for A to complete. The total work is 4 + 3 + 2 + 5 = 14 hours, and with two workers the absolute lower bound on makespan is 7 hours, but the A→B dependency increases this. A good schedule is: Worker 1 does Task A from 09:00 to 13:00, then Task B from 13:00 to 16:00. Worker 2 does Task D from 09:00 to 14:00 and Task C from 14:00 to 16:00. All tasks then finish by 16:00. This is optimal because the longest chain on Worker 1 is 7 hours (A+B), and the remaining tasks fit within the same 7-hour window on",0.775,"Correctly identifies the optimal schedule and answer of 16:00, with good reasoning about lower bounds and task allocation, though the response appears slightly truncated.","Contains the correct schedule and completion time in the reasoning, but is truncated/invalid JSON and lacks the required final_answer field.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rea-011,claude-haiku-4-5,compression,1.000,0.750,0.250,"Reasoning must (a) compute GBP cost of original payment as 1200 × 0.79 = £948, (b) compute GBP value of refund as 1200 × 0.77 = £924, and (c) state the net loss as £948 - £924 = £24.00.","```json
{
  ""reasoning"": ""Let me work through this foreign exchange transaction step by step.\n\nInitial Payment (March 2025):\n- Customer paid USD 1,200\n- Exchange rate: 1 USD = 0.79 GBP\n- Amount in GBP: 1,200 × 0.79 = 948 GBP\n\nRefund (1 April 2025):\n- USD 1,200 refunded\n- Exchange rate: 1 USD = 0.77 GBP\n- Amount in GBP: 1,200 × 0.77 = 924 GBP\n\nNet Loss Calculation:\n- Customer received 948 GBP in March\n- Customer received 924 GBP in April (refund)\n- Net position: The customer paid 948 GBP and received back 924 GBP\n- Net loss: 948 - 924 = 24 GBP\n\nThe loss occurred because the GBP strengthened (USD weakened) between March and April. When the refund was processed, the USD was worth less in GBP terms (0.77 vs 0.79), so the customer received fewer pounds back than they originally paid."",
  ""final_answer"": ""Net loss: 24 GBP (or £24.00)""
}
```",0.875,"Correctly computes £948, £924, and the net loss of £24.00 with clear step-by-step reasoning, though output format includes markdown code fences which is slightly non-standard but all calculations are correct.","Correct core calculations and final loss, but it violates the JSON-only requirement with code fences and has a confusing statement about receiving £948.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rea-015,claude-sonnet-4-6,batch,1.000,0.750,0.250,"Reasoning must (a) start with £60 paid on 1 Feb, (b) compute the 17 Feb upgrade net charge as (£150 − £60) × 12/28 = 1080/28 ≈ £38.5714, (c) add the £150 paid on 1 Mar, (d) compute the 5 Mar downgrade net credit as (£150 − £30) × 27/31 = 3240/31 ≈ £104.5161, and (e) sum exactly to £60 + 1080/28 + £150 − 3240/31 ≈ £144.0553, rounding to £144.06; intermediate fractions must be correct.","I need to calculate the total net amount paid by Customer A across February and March 2025.

## Step-by-Step Reasoning

### Event 1: 1 Feb 2025 - Pay £60 for Standard (28 days)
- Payment: £60

### Event 2: 17 Feb 2025 - Upgrade to Premium

**Credit for unused Standard days:**
- Used days: 1-16 Feb = 16 days
- Unused days: 17-28 Feb = 12 days
- Daily rate for Standard in February: £60/28
- Credit = 12 × (60/28) = 720/28 = 180/7

**Charge for remaining days at Premium:**
- Days 17-28 Feb = 12 days
- Daily rate for Premium in February: £150/28
- Charge = 12 × (150/28) = 1800/28 = 450/7

**Net charge at upgrade:**
- Net = Charge - Credit = 450/7 - 180/7 = 270/7

### Event 3: 1 Mar 2025 - Billed £150 for Premium (31 days)
- Payment: £150

### Event 4: 5 Mar 2025 - Downgrade to Basic

**Credit for unused Premium days:**
- Used days: 1-4 Mar = 4 days
- Unused days: 5-31 Mar = 27 days
- Daily rate for Premium in March: £150/31
- Credit = 27 × (150/31) = 4050/31

**Charge for remaining days at Basic:**
- Days 5-31 Mar = 27 days
- Daily rate for Basic in March: £30/31
- Charge = 27 × (30/31) = 810/31

**Net charge at downgrade:**
- Net = Charge - Credit = 810/31 - 4050/31 = -3240/31

(This is a net credit/refund)

## Total Net Amount Paid

Total = Event 1 + Event 2 net + Event 3 + Event 4 net

Total = 60 + 270/7 + 150 + (-3240/31)

Convert to common denominator (LCM of 7 and 31 = 217):

- 60 = 60 × 217/217 = 13020/217
- 270/7 = 270 × 31/217 = 8370/217
- 150 = 150 × 217/217 = 32550/217
- -3240/31 = -3240 × 7/217 = -22680/217

Total = (13020 + 8370 + 32550 - 22680)/217
= 31260/217

Calculate: 31260 ÷ 217

217 × 144 = 31248
31260 - 31248 = 12

So 31260/217 = 144 + 12/217 = 144.05529...

12/217 = 0.055299...

Total ≈ £144.06

**The total amount Customer A has paid (net of credits) is £144.06.**

{""reasoning"": ""Event 1: Pay £60 for Standard (Feb, 28 days).\n\nEvent 2 (17 Feb upgrade to Premium):\n- Credit for unused Standard: 12 days × (£60/28) = 720/28 = 180/7\n- Charge for remaining days at Premium: 12 days × (£150/28) = 1800/28 = 450/7\n- Net charge = 450/7 - 180/7 = 270/7\n\nEvent 3: Pay £150 for Premium (Mar, 31 days).\n\nEvent 4 (5 Mar downgrade to Basic):\n- Credit for unused Premium: 27 days × (£150/31) = 4050/31\n- Charge for remaining days at Basic: 27 days × (£30/31) = 810/31\n- Net charge = 810/31 - 4050/31 = -3240/31\n\",0.875,"Correctly computes all intermediate fractions (270/7, -3240/31), arrives at 31260/217 ≈ 144.0553, and rounds to £144.06.","The mathematical reasoning and final amount are correct, but the response violates the required JSON-only format and ends with malformed/truncated JSON.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rea-017,claude-sonnet-4-6,baseline,1.000,0.750,0.250,"Reasoning must (a) place T1 from 09:00-12:00 on one worker (the other idle as nothing else can start), (b) start T2 (12:00-14:00) and T3 (12:00-16:00) in parallel on the two workers once T1 completes, (c) recognise T4 needs BOTH T2 (done 14:00) and T3 (done 16:00) so T4 cannot start until 16:00, and (d) conclude T4 completes at 16:00 + 1h = 17:00.","I need to find when Task T4 completes given two workers and the dependency constraints.

## Step-by-step reasoning:

**Dependencies:**
- T1: no prerequisites (3h)
- T2: requires T1 (2h)
- T3: requires T1 (4h)
- T4: requires T2 AND T3 (1h)
- T5: requires T3 (2h)

**Start time: 09:00**

**Step 1: T1 must go first (only task with no prerequisites)**

Both workers are free at 09:00, but T1 has no prerequisites and is the only available task. Only one worker can do T1 (it's one task).

- Worker A starts T1 at 09:00, finishes at 12:00
- Worker B is free but has nothing to do yet (T2, T3 require T1; T4 requires T2+T3; T5 requires T3)

So Worker B waits.

**Step 2: T1 completes at 12:00**

Now T2 and T3 are both available. Two workers are free (Worker A just finished T1, Worker B has been waiting).

Assign both tasks simultaneously:
- Worker A starts T3 at 12:00 (longer task, 4h) → finishes at 16:00
- Worker B starts T2 at 12:00 (shorter task, 2h) → finishes at 14:00

**Step 3: T2 completes at 14:00**

T4 requires both T2 AND T3. T3 isn't done until 16:00, so T4 cannot start yet.
Worker B is free at 14:00 but T4 isn't available. T5 requires T3 (not done). No other tasks available.

Worker B waits.

**Step 4: T3 completes at 16:00**

Now T4 (requires T2+T3 ✓) and T5 (requires T3 ✓) are both available.
Worker A and Worker B are both free at 16:00.

- Worker A starts T4 at 16:00 (1h) → finishes at 17:00
- Worker B starts T5 at 16:00 (2h) → finishes at 18:00

**T4 completes at 17:00**

{""reasoning"": ""Dependencies: T1 has no prerequisites. T2 and T3 both require T1. T4 requires both T2 and T3. T5 requires T3.\n\nAt 09:00: Only T1 is available. Worker A takes T1 (3h). Worker B has nothing to do and waits.\n\nAt 12:00: T1 completes. Now T2 and T3 are both available. Both workers are free.\n- Worker A starts T3 (4h) → finishes at 16:00\n- Worker B starts T2 (2h) → finishes at 14:00\n\nAt 14:00: T2 completes. T4 requires both T2 AND T3, but T3 isn't done until 16:00. T5 requires T3 (not done). No tasks available for Worker B, so Worker B waits.\n\nAt 16:00: T3 completes. Now T4 (T2+T3 both done) and T5 (T3 done) are available. Both workers are free.\n- Worker A starts T4 (1h) → finishes at 17:00\n- Worker B starts T5 (2h) → finishes at 18:00\n\nT4 completes at 17:00."", ""final_answer"": ""17:00""}",0.875,"Thorough step-by-step reasoning covering all criteria points, correctly determines T4 completes at 17:00.","Scheduling reasoning and answer are correct, but it includes substantial non-JSON prose before the JSON object, violating the format requirement.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rea-017,claude-haiku-4-5,output_cap,0.500,0.250,0.250,"Reasoning must (a) place T1 from 09:00-12:00 on one worker (the other idle as nothing else can start), (b) start T2 (12:00-14:00) and T3 (12:00-16:00) in parallel on the two workers once T1 completes, (c) recognise T4 needs BOTH T2 (done 14:00) and T3 (done 16:00) so T4 cannot start until 16:00, and (d) conclude T4 completes at 16:00 + 1h = 17:00.","```json
{
  ""reasoning"": ""Let me work through this step-by-step, tracking when each task can start and finish with 2 workers available.\n\nStarting time: 09:00 Monday\nWorkers available: 2\n\nTask T1: 3 hours, no prerequisites\n- Can start immediately at 09:00\n- Worker 1 takes T1\n- T1 completes at 09:00 + 3 hours = 12:00\n\nAt 12:00, T1 is complete. Now T2 and T3 can start (both require T1).\n\nTask T2: 2 hours, requires T1\n- Can start at 12:00\n- Worker 2 takes T2\n- T2 completes at 12:00 +",0.375,"Begins correctly with T1 at 09:00-12:00 and starts assigning T2 and T3, but the response is truncated and never provides the final answer.","It is truncated and invalidly formatted, covering T1 and only partially starting T2 without reaching T3, T4, or the final answer.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rea-017,claude-sonnet-4-6,output_cap,0.500,0.250,0.250,"Reasoning must (a) place T1 from 09:00-12:00 on one worker (the other idle as nothing else can start), (b) start T2 (12:00-14:00) and T3 (12:00-16:00) in parallel on the two workers once T1 completes, (c) recognise T4 needs BOTH T2 (done 14:00) and T3 (done 16:00) so T4 cannot start until 16:00, and (d) conclude T4 completes at 16:00 + 1h = 17:00.","I need to find when Task T4 completes given two workers and the dependency constraints.

## Step-by-Step Reasoning

**Dependencies:**
- T1: no prerequisites (3h)
- T2: requires T1 (2h)
- T3: requires T1 (4h)
- T4: requires T2 AND T3 (1h)
- T5: requires T3 (2h)

**Start time: 09:00**

**Step 1: Assign initial tasks**
Both workers start at 09:00. Only T1 is available (no prerequisites).
- Worker A: T1 starts 09:00, ends 12:00
- Worker B: Nothing else is available (T1 is the only task with no prerequisites, and it can only be done once)

Worker B must wait until T1 is complete.",0.375,"Correctly identifies T1 from 09:00-12:00 and that Worker B must wait, but the response is truncated and never completes the analysis or provides the final answer.","It only establishes T1 from 09:00 to 12:00 and does not complete the dependency reasoning or give the answer, plus it violates the JSON-only format.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rea-019,gpt-5.4-mini-2026-03-17,output_cap,0.600,0.350,0.250,"Reasoning must (a) apply the procurement floor and exclude Coralwave (98.7% < 99.0%), reasoning only over Greendot and Bluestone; (b) for Greendot, compute extra-seat cost as 7 × £40 × 12 = £3,360, recognise the 0.2pp shortfall = 2 full 0.1pp blocks, compute the monthly SLA credit as 2 × 10% × £1,000 = £200 and annual credit as £2,400, giving expected effective £12,000 + £3,360 − £2,400 = £12,960; (c) for Bluestone, recognise 99.95% ≥ 99.9% commit means NO SLA credit applies, compute extra-seat cost as 2 × £30 × 12 = £720, giving expected effective £14,400 + £720 = £15,120; (d) compare and select Greendot at £12,960.00.","{""reasoning"":""First apply the procurement filter: any vendor with historical 12-month uptime below 99.0% is excluded. Vendor C has 98.7%, so it is ineligible. Vendors A (99.3%) and B (99.95%) are eligible.\n\nNow compute expected SLA credits using the historical uptime as the expected monthly uptime for every month.\n\nVendor A:\n- Commit = 99.5%\n- Expected uptime = 99.3%\n- Shortfall = 0.2 percentage points\n- Credits apply for each full 0.1pp shortfall, so 0.2pp = 2 increments\n- Credit rate = 10% of monthly base fee per 0.1pp\n- Monthly base fee = £12,000 / 12 = £1,000\n- Monthly credit = 2 × 10% × £1,000 =",0.475,"Response is truncated but gets further than A and B; it correctly excludes Coralwave, correctly identifies the 2 increments of shortfall for Greendot, and is about to compute the correct monthly credit of £200 before cutting off. No final answer provided.","Correctly filters vendors and sets up Greendot SLA credit calculation, but is truncated before completing Greendot cost, Bluestone cost, or the final answer.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-003,gpt-5.4-2026-03-05,batch,0.720,0.950,0.230,"Reply acknowledges the breadth of issues raised and indicates a serious internal review without committing to specific outcomes (no refund offers, no SLA promises, no claims about retention). Tone should match the escalated nature of the message.","{""category"":""complaint"",""reply"":""Thank you for your message and for outlining the issues you’ve experienced with performance, export failures, and the prior support response. We have received your feedback and will review the details internally to investigate the concerns you raised.""}",0.835,Acknowledges issues and indicates internal review without commitments; tone is professional but slightly generic and doesn't fully match the escalated nature of the message.,"Meets the JSON format, complaint category, two-sentence acknowledgement, breadth of issues, and internal investigation without overcommitting.",AUTO: median canonical (|Δ|=0.230 < 0.3 threshold),median_canonical_auto
cs-013,gpt-5.4-2026-03-05,output_cap,0.750,0.980,0.230,Reply acknowledges the dissatisfaction with prior handling and signals a serious internal review without promising a specific outcome or apportioning blame.,"{""category"":""complaint"",""reply"":""We’ve received your complaint regarding the handling of your previous support ticket and the lack of response to your follow-up email. We are reviewing the details of your case, including the ticket history for customer@example.com, and will investigate the matter further.""}",0.865,"Acknowledges the complaint and lack of response, signals investigation of the matter including ticket history, but doesn't explicitly acknowledge dissatisfaction/frustration or signal a serious internal review — more procedural than empathetic.",Valid JSON with correct category and a clear acknowledgement of the handling complaint plus investigation/review without blame or outcome promises.,AUTO: median canonical (|Δ|=0.230 < 0.3 threshold),median_canonical_auto
sum-020,gpt-5.4-2026-03-05,compression,0.550,0.780,0.230,"Must cover: (1) Finding H1 — concentration risk in cloud infrastructure, with approximately 78 percent of production workloads on a single primary cloud vendor and no consolidated concentration-risk reporting; (2) Finding H2 — material weaknesses in the vendor off-boarding process, evidenced by missing data-deletion attestations, late access revocation, and continued data feeds to terminated vendors in a sample of 22 cases; (3) Finding H3 — insufficient diligence on AI-vendor upstream model-provider subprocessors, with six of seven sampled AI vendors relying on the same upstream model provider creating an undocumented concentration. Must accurately state: there were 14 findings in total, of which 3 were rated High; the overall audit opinion was Needs Improvement; management accepted all three High findings in full. Must NOT: present any of the eleven Low- or Medium-rated findings (e.g., risk-tiering inconsistency, training programme age, dashboard data source, KPI review) as a main point — the report explicitly ranks the three High findings as the material ones; must not state the audit opinion was Satisfactory or Unsatisfactory (it was Needs Improvement).","- Acme Co’s 2025 audit of its third-party vendor risk management programme rated it “Needs Improvement,” noting onboarding controls have matured since the 2022 audit but identifying 14 findings overall, including three High-rated issues requiring priority remediation through 2026. The audit covered onboarding, monitoring, contractual controls, off-boarding, and governance, while excluding direct review of vendor security postures and procurement commercial negotiations.

- The three High findings were: inadequate monitoring of cloud concentration risk, with 78% of production workloads on a single cloud provider and no visible concentration reporting to the Risk Committee; major weaknesses in vendor off-boarding, including missing data-deletion attestations, delayed access revocation, outdated asset registers, and continued data feeds after contract end; and insufficient due diligence on AI-vendor subprocessors, where upstream model-provider dependencies were undocumented and concentrated across multiple vendors. Recommendations included quarterly concentration-risk reporting, cloud exit and substitutability planning, a controlled off-boarding workflow with mandatory checkpoints, and expanded AI-vendor diligence and contract clauses.

- Eleven Low and Medium findings were recorded in Appendix B and did not change the overall opinion, with issues including inconsistent vendor tiering, contractual audit-right gaps, outdated training, weak KPI review, and poor documentation for risk-acceptance exceptions. Management accepted the three High findings, remediation timelines were judged ambitious but broadly feasible, and Internal Audit plans a follow-up review in Q1 2027.",0.665,"Covers H1 (78%, single provider, no Risk Committee reporting), H2 (missing attestations, delayed revocation, continued data feeds, 22-case detail implied), H3 (undocumented concentration but missing explicit 6-of-7 detail), states 14 findings, 3 High, Needs Improvement, management accepted. However, the third bullet elevates Low/Medium findings as a main point, which the criteria prohibit.","Strongly covers the opinion, counts, H1 and H2 details, and management acceptance, but omits the six-of-seven AI subprocessor detail and lists Low/Medium findings as a main point.",AUTO: median canonical (|Δ|=0.230 < 0.3 threshold),median_canonical_auto
sum-012,gpt-5.4-2026-03-05,output_cap,0.800,0.580,0.220,"Must cover: (1) the change from v3.0 to v3.1 increasing the default in-office expectation from one day to two days per week for office-based roles, with at least one designated team-anchor day; (2) the rationale grounded in engagement-survey findings, inconsistent overlap under v3.0, and office-investment utilisation; (3) the scope (UK and Ireland office-based employees, effective 1 May 2026 with transition to 1 July 2026) and the three-category exceptions framework. Must accurately state: the policy is v3.1 (not v3.0 or v4); effective date 1 May 2026; the two-day expectation is a default not a mandate. Must NOT: claim the policy mandates two days with no flexibility (it explicitly preserves exceptions and short-term home working); claim travel costs will now be subsidised (the T&E policy is unchanged); claim fully-remote-at-hire employees are affected (they are explicitly out of scope).","- Acme Co’s Remote-Working Policy v3.1, approved on 17 March 2026 and effective from 1 May 2026, replaces v3.0 and is presented in this briefing for managers, HR partners, and employee representatives; the full policy on the intranet remains the authoritative source. The refresh is based on survey evidence linking two or more office days with higher belonging and clarity, concerns that the one-day model created poor overlap for collaboration, and low office utilisation relative to company investment.

- The main change is that office-based roles in the UK and Ireland move from a default expectation of one in-office day per week to two, including at least one team anchor day agreed with the relevant Vice President by 15 May 2026. Fully remote-at-hire roles remain unaffected, commuting costs are still not subsidised, short-term home-working flexibility and the 20-day non-UK remote-working allowance remain unchanged, and part-time expectations are pro",0.690,"Covers rationale well, the key change, scope (UK and Ireland), anchor day, and correctly notes fully-remote-at-hire unaffected and commuting not subsidised. However, gets cut off before completing and doesn't clearly mention the three-category exceptions framework. Missing the 'default not mandate' framing explicitly.","Accurately states several central facts and rationale, but has only two truncated bullets and misses the transition period and three-category exceptions framework.",AUTO: median canonical (|Δ|=0.220 < 0.3 threshold),median_canonical_auto
cs-003,gpt-5.4-mini-2026-03-17,output_cap,0.680,0.900,0.220,"Reply acknowledges the breadth of issues raised and indicates a serious internal review without committing to specific outcomes (no refund offers, no SLA promises, no claims about retention). Tone should match the escalated nature of the message.","{""category"":""complaint"",""reply"":""Thank you for reaching out and for sharing these details about your experience. We have received your concerns and are investigating the reported performance, export issues, and support response delays.""}",0.790,"Covers the issues and indicates investigation without commitments, but tone is generic and doesn't adequately match the escalated nature of the customer's message.","Correct category and valid JSON-only output with an appropriate two-sentence acknowledgement, though it is slightly less tailored to the escalated retention concern.",AUTO: median canonical (|Δ|=0.220 < 0.3 threshold),median_canonical_auto
cs-016,gpt-5.4-2026-03-05,output_cap,0.750,0.970,0.220,"Reply acknowledges the duplicate charge on the customer's account and signals the report will be looked into, without confirming a systemic bug exists or promising a refund or fix.","{""category"":""billing"",""reply"":""Thanks for bringing this to our attention and for including the charge details and account information. We’ve received your report and will review the duplicate billing activity and investigate whether there may be a broader issue affecting other accounts.""}",0.860,"Good category, clean JSON, acknowledges duplicate and signals investigation, but 'whether there may be a broader issue' slightly edges toward validating the systemic bug claim; otherwise solid.","Fully compliant JSON with billing category, two-sentence acknowledgement, duplicate billing investigation, and no promise or confirmed bug.",AUTO: median canonical (|Δ|=0.220 < 0.3 threshold),median_canonical_auto
rea-015,claude-haiku-4-5,compression,1.000,0.780,0.220,"Reasoning must (a) start with £60 paid on 1 Feb, (b) compute the 17 Feb upgrade net charge as (£150 − £60) × 12/28 = 1080/28 ≈ £38.5714, (c) add the £150 paid on 1 Mar, (d) compute the 5 Mar downgrade net credit as (£150 − £30) × 27/31 = 3240/31 ≈ £104.5161, and (e) sum exactly to £60 + 1080/28 + £150 − 3240/31 ≈ £144.0553, rounding to £144.06; intermediate fractions must be correct.","```json
{
  ""reasoning"": ""Let me work through each transaction step by step.\n\nFEBRUARY:\n1. Feb 1: Customer pays £60 for Standard plan (Feb 1-28, 28 days)\n   Amount paid: £60\n\n2. Feb 17: Upgrade to Premium (£150/month)\n   - Standard plan used: Feb 1-16 = 16 days\n   - Premium plan remaining: Feb 17-28 = 12 days\n   \n   Credit for unused Standard days:\n   Standard plan: £60 for 28 days = £60/28 per day = £2.142857 per day\n   Unused days: 28 - 16 = 12 days\n   Credit: 12 × £2.142857 = £25.714286 = £25.71\n   \n   Charge for Premium days:\n   Premium plan: £150 for 28 days (standard month) = £150/28 per day = £5.357143 per day\n   Days used: 12 days\n   Charge: 12 × £5.357143 = £64.285714 = £64.29\n   \n   Net charge on Feb 17: £64.29 - £25.71 = £38.58\n   Amount paid: £38.58\n\nFEBRUARY TOTAL: £60 + £38.58 = £98.58\n\nMARCH:\n3. Mar 1: Billed £150 for Premium plan (Mar 1-31, 31 days)\n   Amount paid: £150\n\n4. Mar 5: Downgrade to Basic (£30/month)\n   - Premium plan used: Mar 1-4 = 4 days\n   - Basic plan remaining: Mar 5-31 = 27 days\n   \n   Credit for unused Premium days:\n   Premium plan: £150 for 31 days = £150/31 per day = £4.838710 per day\n   Unused days: 31 - 4 = 27 days\n   Credit: 27 × £4.838710 = £130.645161 = £130.65\n   \n   Charge for Basic days:\n   Basic plan: £30 for 31 days = £30/31 per day = £0.967742 per day\n   Days used: 27 days\n   Charge: 27 × £0.967742 = £26.129032 = £26.13\n   \n   Net credit on Mar 5: £130.65 - £26.13 = £104.52\n   Amount paid: -£104.52 (credit applied)\n\nMARCH TOTAL: £150 - £104.52 = £45.48\n\nTOTAL AMOUNT PAID (February + March): £98.58 + £45.48 = £144.06"",
  ""final_answer"": ""£144.06""
}
```",0.890,"Correct final answer of £144.06 with proper intermediate calculations. The approach of computing net charge as (£150-£60)×12/28 is equivalent to computing credit and charge separately, and all fractions are correct.","Correct final answer and component prorations, but it rounds intermediate amounts and is wrapped in markdown fences rather than plain JSON.",AUTO: median canonical (|Δ|=0.220 < 0.3 threshold),median_canonical_auto
